citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified
yango2026,manuscript_bibliography,yes,sections/02_literature.tex:65; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:976,no,,yes,sections/02_literature.tex:65; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:976,misc,"Yango, James Wabenga","Automation and Aging in General Equilibrium: AI Capital, Fertility, and the Return to Capital",2026,arXiv:2606.22037,,,,10.48550/arXiv.2606.22037,https://arxiv.org/abs/2606.22037,https://doi.org/10.48550/arXiv.2606.22037,"This paper develops a general equilibrium overlapping-generations model with endogenous fertility, in which firms accumulate both physical and artificial intelligence (AI) capital, and uses it to study the macroeconomic transmission of two structural disturbances: an AI technology shock and a longevity shock. The AI shock acts as a capital-demand disturbance: it raises all rates of return, most sharply the return to AI capital, reallocates investment from physical to AI capital, and produces a front-loaded output expansion that decays monotonically. The longevity shock acts as a saving-supply disturbance: it deepens the aggregate capital stock, compresses returns and the real interest rate, and generates hump-shaped, persistent dynamics. The two shocks move fertility in opposite directions: AI raises it modestly through an income effect, while longevity lowers it by strengthening the life-cycle saving motive and the cost of childrearing. A forecast-error variance decomposition attributes most aggregate volatility to the longevity shock, while the AI shock dominates the variance of the return to AI capital. Fertility is strongly countercyclical and almost perfectly negatively correlated with hours worked, placing household time allocation at the center of the mechanism. Robustness checks across the capital share, the shock persistence, and the utility specification show that only an empirically implausible labor-AI elasticity reverses the wage and fertility signs. A welfare analysis finds the AI shock welfare-improving under complementarity, whereas longevity produces a short-run welfare loss that recedes as capital deepening raises wages, since households initially compress consumption and fertility to finance a longer retirement.",openalex_indexed_abstract,https://openalex.org/W7165684671,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
acemoglu2025,manuscript_bibliography,yes,sections/02_literature.tex:36; sections/02_literature.tex:92; sections/04_task_extension.tex:14; sections_axm/02_literature.tex:116,yes,sections_axm/02_literature.tex:116,yes,sections/02_literature.tex:36; sections/02_literature.tex:92; sections/04_task_extension.tex:14,article,"Acemoglu, Daron",The Simple Macroeconomics of AI,2025,Economic Policy,40,121,13--58,10.1093/epolic/eiae042,https://doi.org/10.1093/epolic/eiae042,https://doi.org/10.1093/epolic/eiae042,"SUMMARY This paper evaluates claims about the large macroeconomic implications of new advances in Artificial intelligence (AI). It starts from a task-based model of AI’s effects, working through automation and task complementarities. So long as AI’s microeconomic effects are driven by cost savings/productivity improvements at the task level, its macroeconomic consequences will be given by a version of Hulten’s theorem: Gross Domestic Product (GDP) and aggregate productivity gains can be estimated by what fraction of tasks are impacted and average task-level cost savings. Using existing estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear non-trivial but modest – no more than a 0.66% increase in total factor productivity (TFP) over 10 years. The paper then argues that even these estimates could be exaggerated, because early evidence is from easy-to-learn tasks, whereas some of the future effects will come from hard-to-learn tasks, where there are many context-dependent factors affecting decision-making and no objective outcome measures from which to learn successful performance. Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI’s wage and inequality effects. I show theoretically that even when AI improves the productivity of low-skill workers in certain tasks (without creating new tasks for them), this may increase rather than reduce inequality. Empirically, I find that AI advances are unlikely to increase inequality as much as previous automation technologies because their impact is more equally distributed across demographic groups, but there is also no evidence that AI will reduce labour income inequality. Instead, AI is predicted to widen the gap between capital and labour income. Finally, some of the new tasks created by AI may have negative social value (such as the design of algorithms for online manipulation), and I discuss how to incorporate the macroeconomic effects of new tasks that may have negative social value.",openalex_indexed_abstract,https://openalex.org/W4401405116,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
anthropiceconomicindex2025,manuscript_bibliography,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:176,no,,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:176,techreport,Anthropic,Anthropic Economic Index: Uneven Geographic and Enterprise AI Adoption,2025,Anthropic,,,,,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,"The report analyzes sampled Claude.ai conversations and enterprise API usage to document differences in AI adoption across tasks, regions, and organizations. Its automation taxonomy distinguishes directive interactions from feedback loops and augmentation.",editorial_summary,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,Anthropic,official_landing_page,,,,,,,,2026-08-17
cloudflareradar2025,manuscript_bibliography,yes,sections/01_introduction.tex:195,no,,yes,sections/01_introduction.tex:195,misc,Cloudflare,The 2025 Cloudflare Radar Year in Review,2025,Cloudflare Radar,,,,,https://blog.cloudflare.com/radar-2025-year-in-review/,https://blog.cloudflare.com/radar-2025-year-in-review/,"Cloudflare's annual review summarizes changes in internet traffic, security, outages, and automated crawling during 2025. Its traffic measures count network requests and therefore should not be interpreted as measures of employment, task displacement, or economic value added.",editorial_summary,https://blog.cloudflare.com/radar-2025-year-in-review/,Cloudflare Radar,official_landing_page,,,,,,,,2026-08-17
demireretal2025,manuscript_bibliography,yes,sections/02_literature.tex:87; sections/02_literature.tex:101; sections/03_toy_model.tex:170; sections_axm/02_literature.tex:158,yes,sections_axm/02_literature.tex:158,yes,sections/02_literature.tex:87; sections/02_literature.tex:101; sections/03_toy_model.tex:170,techreport,"Demirer, Mert and Fradkin, Andrey and Tadelis, Nadav and Peng, Sida","The Emerging Market for Intelligence: Pricing, Supply, and Demand for LLMs",2025,National Bureau of Economic Research,,34608,,10.3386/w34608,https://www.nber.org/system/files/working_papers/w34608/w34608.pdf,https://www.nber.org/papers/w34608,"Using API usage data from OpenRouter and Microsoft Azure, the paper documents rapid entry by models and providers, substantial price declines, persistent price dispersion within quality tiers, and frequent turnover among market leaders. It also finds horizontal and vertical differentiation across applications, preliminary short-run price elasticities slightly above one, and increasing experimentation with multiple models even though most firms concentrate usage in a single model.",editorial_summary,https://www.nber.org/papers/w34608,NBER,official_landing_page,,,,,,,,2026-08-17
erdiletal2025gate,manuscript_bibliography,yes,sections_axm/01_introduction.tex:253; sections_axm/02_literature.tex:46,yes,sections_axm/01_introduction.tex:253; sections_axm/02_literature.tex:46,no,,misc,"Erdil, Ege and Potlogea, Andrei and Besiroglu, Tamay and Roldan, Edu and Ho, Anson and Sevilla, Jaime and Barnett, Matthew and Vrzla, Matej and Sandler, Robert",GATE: An Integrated Assessment Model for AI Automation,2025,arXiv:2503.04941,,,,10.48550/arXiv.2503.04941,https://arxiv.org/pdf/2503.04941,https://arxiv.org/abs/2503.04941,"Assessing the economic impacts of artificial intelligence requires integrating insights from both computer science and economics. We present the Growth and AI Transition Endogenous model (GATE), a dynamic integrated assessment model that simulates the economic effects of AI automation. GATE combines three key ingredients that have not been brought together in previous work: (1) a compute-based model of AI development, (2) an AI automation framework, and (3) a semi-endogenous growth model featuring endogenous investment and adjustment costs. The model allows users to simulate the economic effects of the transition to advanced AI across a range of potential scenarios. GATE captures the interactions between economic variables, including investment, automation, innovation, and growth, as well as AI-related inputs such as compute and algorithms. This paper explains the model's structure and functionality, emphasizing AI development for economists and economic modeling for the AI community. The model is implemented in an interactive sandbox, enabling users to explore the impact of AI under different parameter choices and policy interventions.",source_abstract,https://arxiv.org/abs/2503.04941,arXiv,official_landing_page,AI automation; compute; endogenous growth; investment; integrated assessment,quantitative scenario model,"Integrated assessment model combining compute-based AI development, automation, semi-endogenous growth, investment, and adjustment costs.","The framework jointly simulates AI development, automation, investment, innovation, and aggregate growth across alternative scenarios.","Main quantitative comparator for models that integrate compute, automation, investment, and growth.",It abstracts from the decentralized price system and market structure central to the A×M paper and does not supply its analytical regime classification.,,2026-08-17
idetalamas2025,conversation_addition,no,,no,,no,,article,"Ide, Enrique and Talamàs, Eduard",Artificial Intelligence in the Knowledge Economy,2025,Journal of Political Economy,133,12,3762--3813,10.1086/737233,https://www.journals.uchicago.edu/doi/pdf/10.1086/737233,https://www.journals.uchicago.edu/doi/abs/10.1086/737233,The paper studies how AI agents reshape hierarchical organizations built around differences in human knowledge. Compute can create either autonomous agents that solve problems independently or nonautonomous agents that assist people. These two forms of AI change organizational structure and distribute gains differently across the knowledge hierarchy.,editorial_summary,https://www.journals.uchicago.edu/doi/abs/10.1086/737233,University of Chicago Press,official_landing_page,artificial intelligence; knowledge economy; compute; AI agents; organization; labor income,theory,Competitive equilibrium model of knowledge hierarchies in which exogenous compute is converted into autonomous or nonautonomous AI agents.,AI autonomy changes organizational structure and the distribution of gains across human knowledge types; compute has an endogenous rental price but fixed aggregate supply.,Closest precedent for treating compute as a rival input that produces scalable AI agents while preserving an explicit market price.,"The model is static, has exogenous compute and zero economic profit, and does not include training or research feedback.",Concise editorial synopsis of the official abstract; it is not author-written text.,2026-08-17
iea2025,manuscript_bibliography,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145; sections_axm/01_introduction.tex:109; sections_axm/01_introduction.tex:117,yes,sections_axm/01_introduction.tex:109; sections_axm/01_introduction.tex:117,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145,techreport,International Energy Agency,Energy and AI,2025,International Energy Agency,,,,,https://www.iea.org/reports/energy-and-ai,https://www.iea.org/reports/energy-and-ai,"The report studies the electricity required by data centers and artificial intelligence, the geographic concentration of demand, the scope for efficiency improvements, and the ways in which AI could also transform energy production and consumption.",editorial_summary,https://www.iea.org/reports/energy-and-ai,International Energy Agency,official_landing_page,,,,,,,,2026-08-17
jones2025rd,manuscript_bibliography,yes,sections/02_literature.tex:42; sections/02_literature.tex:127; sections/04_task_extension.tex:14; sections_axm/02_literature.tex:45,yes,sections_axm/02_literature.tex:45,yes,sections/02_literature.tex:42; sections/02_literature.tex:127; sections/04_task_extension.tex:14,techreport,"Jones, Benjamin F.",Artificial Intelligence in Research and Development,2025,National Bureau of Economic Research,,34312,,10.3386/w34312,https://doi.org/10.3386/w34312,https://doi.org/10.3386/w34312,"How much can AI accelerate progress in different research fields?This paper shows that three features-the share of research tasks AI performs, the productivity of AI at those tasks, and the strength of bottlenecks-are key determinants of AI's implications in any area, from cancer therapeutics to software design.The model maps changes in AI capabilities to research outcomes, quantifies the ""marginal returns to intelligence,"" and shows how AI can shift returns to R&D investment.Concepts like superintelligence, Powerful AI, and Transformative AI are further engaged and disciplined.Finally, the framework sets a measurement agenda linking AI benchmarks to field-specific opportunities for accelerating progress.",openalex_indexed_abstract,https://openalex.org/W4414867103,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
kokotajlo2025,manuscript_bibliography,yes,sections/01_introduction.tex:300; sections/06_conclusion.tex:223,no,,yes,sections/01_introduction.tex:300; sections/06_conclusion.tex:223,misc,"Kokotajlo, Daniel and Alexander, Scott and Larsen, Thomas and Lifland, Eli and Dean, Romeo",AI 2027,2025,https://ai-2027.com/,,,,,https://ai-2027.com/scenario.pdf,https://ai-2027.com/,"AI 2027 presents a scenario in which AI systems automate a growing share of AI research during 2027, rapidly produce systems with capabilities beyond those of human researchers, and create severe alignment and geopolitical risks. The scenario is a forecast exercise rather than an estimated economic model.",editorial_summary,https://ai-2027.com/summary,AI 2027,official_landing_page,,,,,,,"Scenario forecast published April 3, 2025",2026-08-17
metrclaude2025,manuscript_bibliography,yes,sections/01_introduction.tex:186; sections_axm/01_introduction.tex:126,yes,sections_axm/01_introduction.tex:126,yes,sections/01_introduction.tex:186,misc,Model Evaluation and Threat Research,Details about METR's Preliminary Evaluation of Claude 3.7,2025,METR,,,,,https://metr.org/evaluations/claude-3-7-report/,https://metr.org/evaluations/claude-3-7-report/,"METR's preliminary evaluation tests Claude 3.7 on a five-task subset of RE-Bench. With a 32-hour budget per task, the agent matched the median score of human experts given eight hours, while METR emphasizes that the comparison is preliminary and not directly comparable with every earlier evaluation.",editorial_summary,https://metr.org/evaluations/claude-3-7-report/,METR,official_landing_page,,,,,,,,2026-08-17
restrepo2025agi,manuscript_bibliography,yes,sections_axm/01_introduction.tex:194; sections_axm/02_literature.tex:134; sections_axm/06_conclusion.tex:68,yes,sections_axm/01_introduction.tex:194; sections_axm/02_literature.tex:134; sections_axm/06_conclusion.tex:68,no,,techreport,"Restrepo, Pascual",We Won't Be Missed: Work and Growth in the AGI World,2025,National Bureau of Economic Research,,34423,,10.3386/w34423,https://www.nber.org/system/files/working_papers/w34423/w34423.pdf,https://www.nber.org/papers/w34423,"This chapter explores the long-run implications of Artificial General Intelligence (AGI) for economic growth and labor markets. AGI makes it feasible to perform all economically valuable work using compute. I distinguish between bottleneck and supplementary work—tasks that are essential versus non-essential for unhindered growth. As computational resources expand: (i) the economy automates all bottleneck work, (ii) some supplementary work may be left exclusively to humans, (iii) output becomes linear in compute and labor and its growth is driven by the expansion of compute, (iv) wages converge to the opportunity cost of computational resources required to reproduce human work, and (v) the share of labor income in GDP converges to zero.",source_abstract,https://www.nber.org/papers/w34423,NBER,official_landing_page,AGI; compute; bottleneck work; labor share; wages; economic growth,theory,Long-run model in which AGI can reproduce all economically valuable bottleneck work using expanding compute.,"Once compute can perform all bottleneck work, growth becomes compute-driven, wages are tied to compute's opportunity cost, and labor's income share converges to zero.",Closest antecedent for the conditional limiting distribution in which the human bottleneck disappears and labor's share vanishes.,"It characterizes the endpoint, not the endogenous delayed takeoff, monopoly rents, or the split between inference and research compute.",,2026-08-17
stanfordaiindex2025,manuscript_bibliography,yes,sections/01_introduction.tex:135,no,,yes,sections/01_introduction.tex:135,techreport,Stanford Institute for Human-Centered Artificial Intelligence,The 2025 AI Index Report,2025,Stanford University,,,,,https://hai.stanford.edu/ai-index/2025-ai-index-report,https://hai.stanford.edu/ai-index/2025-ai-index-report,"The 2025 AI Index synthesizes evidence on technical performance, investment, adoption, responsible AI, public opinion, education, and policy. It documents rapid improvements in benchmark performance and falling inference costs while emphasizing persistent limitations in reliability, transparency, and standardized evaluation.",editorial_summary,https://hai.stanford.edu/ai-index/2025-ai-index-report,Stanford HAI,official_landing_page,,,,,,,,2026-08-17
